DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-19,EGAD,Eaagads Ltd,8.2,14,14.5,14.5,14.5,14.5,-,-,-,-
02-Jan-19,KUKZ,Kakuzi Plc,300,423.5,310,310,310,310,-,-,-,-
02-Jan-19,KAPC,Kapchorua Tea Kenya Plc,59,95,74.5,74.5,74.5,75,-0.5,0.67%,200,-
02-Jan-19,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,-
02-Jan-19,SASN,Sasini Plc,14.8,19,19,21,19.8,19.9,-0.1,0.50%,"1,000",-
02-Jan-19,WTK,Williamson Tea Kenya Plc,92,165,150,150,150,150,-,-,500,-
02-Jan-19,CGEN,Car and General (K) Ltd,20,26,23,23.5,23.45,21.5,1.95,9.07%,"4,300",-
02-Jan-19,ABSA,ABSA Bank Kenya Plc,8.96,14.2,10.8,11,10.85,10.95,-0.1,0.91%,"120,200",-
02-Jan-19,BKG,BK Group Plc,16.4,28,33,33,33,33,-,-,-,-
02-Jan-19,COOP,Co-operative Bank of Kenya Ltd,10.5,17,13.6,14.8,13.85,14.3,-0.45,3.15%,"69,300",-
02-Jan-19,DTK,Diamond Trust Bank Kenya Ltd,67,127,156,156,156,156.5,-0.5,0.32%,300,-
02-Jan-19,EQTY,Equity Group Holdings Plc,30.5,55.5,34.05,35.4,34.65,34.85,-0.2,0.57%,"863,000",-
02-Jan-19,HFCK,HF Group Ltd,3.49,7.9,5.8,5.8,5.8,5.54,0.26,4.69%,"4,500",-
02-Jan-19,IMH,I & M Holdings Plc,43.1,59,85,85,85,85,-,-,-,42.5
02-Jan-19,KCB,KCB Group Plc,33.75,55.5,37,37.45,37.1,37.45,-0.35,0.93%,"876,500",-
02-Jan-19,NBK,National Bank of Kenya Ltd,3.4,4.33,5.32,5.32,5.32,5.32,-,-,-,-
02-Jan-19,NCBA,NCBA Group Plc,24.9,40,27,28.5,27.65,27.8,-0.15,0.54%,"14,900",-
02-Jan-19,SBIC,Stanbic Holdings Plc,76,118.5,90,90,90,90.75,-0.75,0.83%,"17,000",-
02-Jan-19,SCBK,Standard Chartered Bank Kenya Ltd,155,220,196,200,197.25,194.5,2.75,1.41%,"1,600",-
02-Jan-19,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
02-Jan-19,EVRD,Eveready East Africa Ltd,0.75,1.28,0.9,0.99,0.98,1,-0.02,2.00%,"1,800",-
02-Jan-19,XPRS,Express Kenya Plc,3.5,7.34,5,5,5,5,-,-,100,-
02-Jan-19,KQ,Kenya Airways Plc,0.8,4.95,8.5,9,8.86,8.9,-0.04,0.45%,"3,900",-
02-Jan-19,LKL,Longhorn Publishers Plc,4.26,8.2,4.61,4.61,4.61,4.61,-,-,-,-
02-Jan-19,NBV,Nairobi Business Ventures Ltd,0.49,0.99,1.2,1.2,1.2,1.15,0.05,4.35%,600,-
02-Jan-19,NMG,Nation Media Group Plc,10.9,48,65,67,65.75,68.5,-2.75,4.01%,"8,300",-
02-Jan-19,SMER,Sameer Africa Plc,1.91,4.69,1.85,1.9,1.86,1.85,0.01,0.54%,"3,000",-
02-Jan-19,SGL,Standard Group Plc,18,31,27.45,30,28.7,29.5,-0.8,2.71%,200,-
02-Jan-19,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,23,24.75,24.55,23,1.55,6.74%,"1,100",-
02-Jan-19,UCHM,Uchumi Supermarket Plc,0.23,0.4,0.8,0.85,0.81,0.8,0.01,1.25%,"15,400",-
