DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-14,EGAD,Eaagads Ltd,8.2,14,23.75,23.75,23.75,23.75,-,-,"1,600",-
02-Jan-14,KUKZ,Kakuzi Plc,300,423.5,95,95,95,95,-,-,100,-
02-Jan-14,KAPC,Kapchorua Tea Kenya Plc,59,95,125,125,125,125,-,-,-,62.5
02-Jan-14,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,250
02-Jan-14,SASN,Sasini Plc,14.8,19,14.7,15,14.7,14.65,0.05,0.34%,"18,600",-
02-Jan-14,WTK,Williamson Tea Kenya Plc,92,165,250,250,250,250,-,-,-,125
02-Jan-14,CGEN,Car and General (K) Ltd,20,26,30,30.5,30.25,30,0.25,0.83%,"4,700",25.21
02-Jan-14,ABSA,ABSA Bank Kenya Plc,8.96,14.2,17.6,17.8,17.7,17.6,0.1,0.57%,"26,600",-
02-Jan-14,COOP,Co-operative Bank of Kenya Ltd,10.5,17,17.45,17.8,17.6,17.75,-0.15,0.85%,"231,300",12.57
02-Jan-14,DTK,Diamond Trust Bank Kenya Ltd,67,127,195,195,195,192,3,1.56%,"9,000",177.27
02-Jan-14,EQTY,Equity Group Holdings Plc,30.5,55.5,31,31.5,31,30.75,0.25,0.81%,"3,561,700",-
02-Jan-14,HFCK,HF Group Ltd,3.49,7.9,31.25,32,31.5,31.6,-0.1,0.32%,"12,200",28.64
02-Jan-14,IMH,I & M Holdings Plc,43.1,59,120,120,120,120,-,-,-,60
02-Jan-14,KCB,KCB Group Plc,33.75,55.5,47,48.25,47.75,47.25,0.5,1.06%,"1,897,800",-
02-Jan-14,NBK,National Bank of Kenya Ltd,3.4,4.33,28.5,28.5,28.5,28.75,-0.25,0.87%,"10,000",23.55
02-Jan-14,NCBA,NCBA Group Plc,24.9,40,60,62.5,61.25,60.25,1,1.66%,"11,400",50.62
02-Jan-14,SBIC,Stanbic Holdings Plc,76,118.5,87,89,88,87,1,1.15%,"10,400",-
02-Jan-14,SCBK,Standard Chartered Bank Kenya Ltd,155,220,305,310,309.25,304.75,4.5,1.48%,"3,500",-
02-Jan-14,EVRD,Eveready East Africa Ltd,0.75,1.28,2.8,2.95,2.8,2.7,0.1,3.70%,"23,600",-
02-Jan-14,XPRS,Express Kenya Plc,3.5,7.34,3.9,3.9,3.9,3.9,-,-,"2,000",-
02-Jan-14,KQ,Kenya Airways Plc,0.8,4.95,13,13.5,13.25,13.05,0.2,1.53%,"43,800",53
02-Jan-14,LKL,Longhorn Publishers Plc,4.26,8.2,13.5,13.5,13.5,13.5,-,-,-,5.4
02-Jan-14,NMG,Nation Media Group Plc,11.4,48,310,316,313,314,-1,0.32%,500,-
02-Jan-14,SMER,Sameer Africa Plc,1.91,4.69,5.3,5.45,5.35,5.25,0.1,1.90%,"4,200",-
02-Jan-14,SGL,Standard Group Plc,18,31,28.25,28.25,28.25,26,2.25,8.65%,100,-
02-Jan-14,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,45,45.5,45.25,45.5,-0.25,0.55%,"54,300",-
02-Jan-14,UCHM,Uchumi Supermarket Plc,0.23,0.4,19.4,19.5,19.4,19.45,-0.05,0.26%,"2,100",-
02-Jan-14,SCAN,WPP ScanGroup Plc,11,25,46,48.25,47.75,48.25,-0.5,1.04%,"247,700",-
02-Jan-14,ARM,ARM Cement Plc,5.55,5.55,87.5,88.5,87.5,90,-2.5,2.78%,"14,400",-
02-Jan-14,BAMB,Bamburi Cement Ltd,24.9,115,210,210,210,210,-,-,-,-
02-Jan-14,CRWN,Crown Paints Kenya Plc,45,85,75,75,75,75,-,-,-,25
02-Jan-14,CABL,East African Cables Ltd,1.44,3.98,16.8,16.8,16.8,16.75,0.05,0.30%,"1,100",-
02-Jan-14,PORT,East African Portland Cement Ltd,12.6,18.5,66,66,66,69,-3,4.35%,"5,000",-
02-Jan-14,KENO,KenolKobil Ltd,12.8,23,9.5,10,9.95,10.1,-0.15,1.49%,"159,500",-
02-Jan-14,KEGN,Kenya Electricity Generating Company Plc,4,6.3,13,13.55,13.25,13.55,-0.3,2.21%,"39,400",-
02-Jan-14,KPLC-P4,KPLC-P4,5,5,7.5,7.5,7.5,7.5,-,-,-,-
02-Jan-14,KPLC-P7,KPLC-P7,6,6,5.5,5.5,5.5,5.5,-,-,-,-
02-Jan-14,KPLC,Kenya Power and Lighting Company Plc,1.63,4.1,14,14.15,14.05,14.15,-0.1,0.71%,"36,300",-
02-Jan-14,TOTL,Total Kenya Ltd,22,30,24.75,25,24.75,25,-0.25,1.00%,"5,600",-
02-Jan-14,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-
02-Jan-14,BRIT,Britam Holdings Plc,5.7,10.65,15,15.5,15.35,15.15,0.2,1.32%,"190,500",-
02-Jan-14,CIC,CIC Insurance Group Ltd,2,3.65,5.45,5.95,5.8,5.9,-0.1,1.69%,"185,900",4.83
02-Jan-14,JUB,Jubilee Holdings Ltd,225,380,282,282,282,280,2,0.71%,100,233.06
02-Jan-14,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,15.45,15.6,15.5,15.5,-,-,"19,600",3.88
02-Jan-14,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,15,15.5,15,15.05,-0.05,0.33%,"15,500",-
02-Jan-14,SLAM,Sanlam Kenya Plc,12.8,19.5,88,91,88.5,90,-1.5,1.67%,"5,500",59
02-Jan-14,CTUM,Centum Investment Company Plc,19.6,33.5,33,33.75,33.45,33.1,0.35,1.06%,"29,000",-
02-Jan-14,HAFR,Home Afrika Ltd,0.3,0.69,5.4,5.95,5.6,5.9,-0.3,5.08%,"237,600",-
02-Jan-14,OCH,Olympia Capital Holdings Ltd,1.9,2.9,4.4,4.4,4.4,4.55,-0.15,3.30%,400,-
02-Jan-14,TCL,Trans-Century Plc,1.42,3.95,29,29.5,29.25,28.75,0.5,1.74%,"5,300",-
02-Jan-14,BOC,BOC Kenya Plc,53,72,125,125,125,125,-,-,-,-
02-Jan-14,BAT,British American Tobacco Kenya Plc,305,545,595,595,595,600,-5,0.83%,100,-
02-Jan-14,CARB,Carbacid Investments Plc,7.1,9.4,52,52,52,51.5,0.5,0.97%,"10,500",-
02-Jan-14,EABL,East African Breweries Ltd,135,222.25,290,295,290,290,-,-,"27,400",-
02-Jan-14,ORCH,Kenya Orchards Ltd,12.25,12.6,3,3,3,3,-,-,-,-
02-Jan-14,MSC,Mumias Sugar Company Ltd,0.27,0.38,3.15,3.3,3.2,3.25,-0.05,1.54%,"631,000",-
02-Jan-14,UNGA,Unga Group Ltd,26.1,36.5,18,19.45,19.1,18,1.1,6.11%,"2,400",-
02-Jan-14,SCOM,Safaricom Plc,23.5,33.5,10.6,10.9,10.7,10.85,-0.15,1.38%,"3,505,300",-
02-Jan-14,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,172.83,172.83,172.83,172.4,0.43,0.25%,-,-
02-Jan-14,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,174.61,174.61,174.61,174.27,0.34,0.20%,-,-
02-Jan-14,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","4,910.74","4,910.74","4,910.74","4,926.97",-16.23,0.33%,-,-
02-Jan-14,^NASI,NSE All-Share Index,124.3,171.36,136.56,136.56,136.56,136.65,-0.09,0.07%,-,-
03-Jan-14,EGAD,Eaagads Ltd,8.2,14,23.75,23.75,23.75,23.75,-,-,200,-
03-Jan-14,KUKZ,Kakuzi Plc,300,423.5,95,95,95,95,-,-,-,-
03-Jan-14,KAPC,Kapchorua Tea Kenya Plc,59,95,125,125,125,125,-,-,-,62.5
03-Jan-14,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,250
03-Jan-14,SASN,Sasini Plc,14.8,19,14.7,15,14.95,14.7,0.25,1.70%,"17,200",-
03-Jan-14,WTK,Williamson Tea Kenya Plc,92,165,230,230,230,250,-20,8.00%,500,115
03-Jan-14,CGEN,Car and General (K) Ltd,20,26,30.25,30.25,30.25,30.25,-,-,-,25.21
03-Jan-14,ABSA,ABSA Bank Kenya Plc,8.96,14.2,17.55,18,17.6,17.7,-0.1,0.56%,"110,400",-
03-Jan-14,COOP,Co-operative Bank of Kenya Ltd,10.5,17,17.35,17.8,17.55,17.6,-0.05,0.28%,"82,500",12.54
03-Jan-14,DTK,Diamond Trust Bank Kenya Ltd,67,127,195,200,196,195,1,0.51%,"5,700",178.18
03-Jan-14,EQTY,Equity Group Holdings Plc,30.5,55.5,31.5,33.25,31.75,31,0.75,2.42%,"1,208,200",-
03-Jan-14,HFCK,HF Group Ltd,3.49,7.9,31.5,33,32.55,31.5,1.05,3.33%,"95,800",29.59
03-Jan-14,IMH,I & M Holdings Plc,43.1,59,115,120,116.5,120,-3.5,2.92%,300,58.25
03-Jan-14,KCB,KCB Group Plc,33.75,55.5,47.75,48.25,48,47.75,0.25,0.52%,"2,227,000",-
03-Jan-14,NBK,National Bank of Kenya Ltd,3.4,4.33,27.75,29,28.75,28.5,0.25,0.88%,"38,900",23.76
03-Jan-14,NCBA,NCBA Group Plc,24.9,40,60,62,60.25,61.25,-1,1.63%,"2,100",49.79
03-Jan-14,SBIC,Stanbic Holdings Plc,76,118.5,87.5,90,88.5,88,0.5,0.57%,"10,500",-
