DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-13,EGAD,Eaagads Ltd,8.2,14,25,25,25,25,-,-,-,-
2-Jan-13,KUKZ,Kakuzi Plc,300,423.5,67.5,67.5,67.5,72,-4.5,6.25%,300,-
2-Jan-13,KAPC,Kapchorua Tea Kenya Plc,59,95,118,118,118,118,-,-,-,59
2-Jan-13,LIMT,Limuru Tea Plc,385,475,430,430,430,430,-,-,-,215
2-Jan-13,SASN,Sasini Plc,14.8,19.6,11.7,12.05,11.9,11.7,0.2,1.71%,"14,500",-
2-Jan-13,WTK,Williamson Tea Kenya Plc,92,165,200,200,200,200,-,-,-,100
2-Jan-13,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20
2-Jan-13,ABSA,ABSA Bank Kenya Plc,9.3,14.2,15.65,16,15.7,15.75,-0.05,0.32%,"78,200",-
2-Jan-13,COOP,Co-operative Bank of Kenya Ltd,10.5,17,12.75,13,12.75,12.6,0.15,1.19%,"123,300",9.11
2-Jan-13,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,118,118,118,115,3,2.61%,"8,700",107.27
2-Jan-13,EQTY,Equity Group Holdings Plc,32.15,55.5,23.75,24,23.75,23.75,-,-,"118,500",-
2-Jan-13,HFCK,HF Group Ltd,3.49,7.9,15.4,15.5,15.45,15.45,-,-,"8,600",14.05
2-Jan-13,KCB,KCB Group Plc,33.75,55.5,30,30.5,30.25,29.75,0.5,1.68%,"144,500",-
2-Jan-13,NBK,National Bank of Kenya Ltd,3.4,4.4,17.1,17.5,17.35,17.25,0.1,0.58%,"2,600",14.34
2-Jan-13,NCBA,NCBA Group Plc,24.9,40,38.75,39.25,39.1,38.45,0.65,1.69%,"56,100",32.31
2-Jan-13,SBIC,Stanbic Holdings Plc,76.5,118.5,43,43,43,42,1,2.38%,100,-
2-Jan-13,SCBK,Standard Chartered Bank Kenya Ltd,162,220,235,237,236.25,235,1.25,0.53%,"8,600",-
2-Jan-13,EVRD,Eveready East Africa Ltd,0.75,1.28,1.95,2.05,2,2.05,-0.05,2.44%,"3,700",-
2-Jan-13,XPRS,Express Kenya Plc,4.95,7.34,3.5,3.5,3.5,3.5,-,-,-,-
2-Jan-13,KQ,Kenya Airways Plc,0.8,5.5,11,11.4,11.3,11.4,-0.1,0.88%,"180,500",45.2
2-Jan-13,LKL,Longhorn Publishers Plc,4.26,8.6,10.2,10.2,10.2,10.2,-,-,-,4.08
2-Jan-13,NMG,Nation Media Group Plc,14.95,49.5,225,225,225,222,3,1.35%,900,187.5
2-Jan-13,SMER,Sameer Africa Plc,1.91,4.69,4.15,4.5,4.35,4.15,0.2,4.82%,"20,200",-
2-Jan-13,SGL,Standard Group Plc,18,31,22.5,22.5,22.5,21.75,0.75,3.45%,600,-
2-Jan-13,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.45,39.25,39.25,39.25,40,-0.75,1.88%,"1,000",-
2-Jan-13,UCHM,Uchumi Supermarket Plc,0.23,0.58,19.1,19.25,19.1,19.05,0.05,0.26%,"69,200",-
2-Jan-13,SCAN,WPP ScanGroup Plc,10.5,19.75,67.5,67.5,67.5,68.5,-1,1.46%,"2,600",-
2-Jan-13,ARM,ARM Cement Plc,5.55,5.55,44.6,44.6,44.6,44.6,-,-,-,-
2-Jan-13,BAMB,Bamburi Cement Ltd,27,120,190,190,190,185,5,2.70%,100,-
2-Jan-13,CRWN,Crown Paints Kenya Plc,45,87,42.5,42.5,42.5,42.5,-,-,-,14.17
2-Jan-13,CABL,East African Cables Ltd,1.44,3.98,11.5,12.5,11.75,11.7,0.05,0.43%,"8,400",-
2-Jan-13,PORT,East African Portland Cement Ltd,12.6,18.5,39,39,39,39,-,-,-,-
2-Jan-13,KENO,KenolKobil Ltd,12.8,23,13.5,13.6,13.55,13.55,-,-,"48,900",-
2-Jan-13,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8.85,9,8.9,8.8,0.1,1.14%,"98,900",-
2-Jan-13,KPLC-P4,KPLC-P4,5,5,7.65,7.65,7.65,7.65,-,-,-,-
2-Jan-13,KPLC-P7,KPLC-P7,6,6,5.5,5.5,5.5,5.5,-,-,-,-
