DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-15,EGAD,Eaagads Ltd,8.2,14,42,42,42,42,-,-,-,-
2-Jan-15,KUKZ,Kakuzi Plc,300,423.5,180,180,180,180,-,-,"5,200",-
2-Jan-15,KAPC,Kapchorua Tea Kenya Plc,59,95,137,137,137,137,-,-,-,68.5
2-Jan-15,LIMT,Limuru Tea Plc,385,475,771,771,771,771,-,-,-,385.5
2-Jan-15,SASN,Sasini Plc,14.8,19.6,13,13,13,12.85,0.15,1.17%,"1,000",-
2-Jan-15,WTK,Williamson Tea Kenya Plc,92,165,248,248,248,248,-,-,-,124
2-Jan-15,CGEN,Car and General (K) Ltd,20,26,54,54,54,54,-,-,-,-
2-Jan-15,ABSA,ABSA Bank Kenya Plc,9,14.2,16.6,16.8,16.75,16.65,0.1,0.60%,"84,300",-
2-Jan-15,COOP,Co-operative Bank of Kenya Ltd,10.5,17,19,19.9,19.5,20,-0.5,2.50%,"391,100",16.25
2-Jan-15,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,234,239,237,235,2,0.85%,500,215.45
2-Jan-15,EQTY,Equity Group Holdings Plc,30.5,55.5,50,51,50.5,50,0.5,1.00%,"215,900",-
2-Jan-15,HFCK,HF Group Ltd,3.49,7.9,46.75,47.5,46.95,45.95,1,2.18%,"15,300",42.68
2-Jan-15,IMH,I & M Holdings Plc,43.1,59,125,125,125,123,2,1.63%,"1,500",62.5
2-Jan-15,KCB,KCB Group Plc,33.75,55.5,56,58,57,57,-,-,"651,500",-
2-Jan-15,NBK,National Bank of Kenya Ltd,3.4,4.33,24.5,25,24.75,24.75,-,-,"11,500",20.45
2-Jan-15,NCBA,NCBA Group Plc,24.9,40,57.5,58.5,57.75,57.5,0.25,0.43%,"35,900",52.5
2-Jan-15,SBIC,Stanbic Holdings Plc,76.5,118.5,122,126,124,124,-,-,"4,300",-
2-Jan-15,SCBK,Standard Chartered Bank Kenya Ltd,160,220,334,340,334.75,335.25,-0.5,0.15%,"13,800",-
2-Jan-15,EVRD,Eveready East Africa Ltd,0.75,1.28,3.65,3.95,3.9,3.7,0.2,5.41%,"10,600",-
2-Jan-15,XPRS,Express Kenya Plc,4,7.34,6.2,6.2,6.2,6.2,-,-,-,-
