DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
04-Jan-16,EGAD,Eaagads Ltd,8.2,14,25,25,25,26.75,-1.75,6.54%,400,-
04-Jan-16,KUKZ,Kakuzi Plc,300,423.5,317,348,332,317,15,4.73%,200,-
04-Jan-16,KAPC,Kapchorua Tea Kenya Plc,59,95,200,200,200,200,-,-,800,100
04-Jan-16,LIMT,Limuru Tea Plc,385,475,"1,085.00","1,085.00","1,085.00","1,085.00",-,-,-,-
04-Jan-16,SASN,Sasini Plc,14.8,19.6,19.5,19.5,19.5,19.55,-0.05,0.26%,700,-
04-Jan-16,WTK,Williamson Tea Kenya Plc,92,165,400,410,401,384,17,4.43%,700,200.5
04-Jan-16,CGEN,Car and General (K) Ltd,20,26,39.5,39.5,39.5,39.5,-,-,-,-
04-Jan-16,ABSA,ABSA Bank Kenya Plc,9.1,14.2,13.25,14.5,13.35,13.6,-0.25,1.84%,"214,000",-
04-Jan-16,COOP,Co-operative Bank of Kenya Ltd,10.5,17,17,18.05,17.7,18,-0.3,1.67%,"55,300",14.75
04-Jan-16,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,186,186,186,187,-1,0.53%,300,169.09
04-Jan-16,EQTY,Equity Group Holdings Plc,30.5,55.5,40,41,40.75,40,0.75,1.88%,"1,187,600",-
04-Jan-16,HFCK,HF Group Ltd,3.49,7.9,22.5,23,22.85,22.25,0.6,2.70%,"11,800",20.77
04-Jan-16,IMH,I & M Holdings Plc,43.1,59,100,100,100,100,-,-,"27,400",50
04-Jan-16,KCB,KCB Group Plc,33.75,55.5,41,43.5,43,43.75,-0.75,1.71%,"1,479,300",-
04-Jan-16,NBK,National Bank of Kenya Ltd,3.4,4.38,15.1,16,15.8,15.75,0.05,0.32%,"6,200",14.36
04-Jan-16,NCBA,NCBA Group Plc,24.9,40,42,43,42.5,43.25,-0.75,1.73%,"3,700",38.64
04-Jan-16,SBIC,Stanbic Holdings Plc,76.5,118.5,81,84,81.5,82.5,-1,1.21%,"57,600",-
04-Jan-16,SCBK,Standard Chartered Bank Kenya Ltd,161,220,203,203,203,195,8,4.10%,200,-
04-Jan-16,EVRD,Eveready East Africa Ltd,0.75,1.28,2.65,2.7,2.65,2.7,-0.05,1.85%,"3,300",-
04-Jan-16,XPRS,Express Kenya Plc,4.15,7.34,4.5,4.5,4.5,4.5,-,-,900,-
04-Jan-16,KQ,Kenya Airways Plc,0.8,5.5,4.75,5,4.95,4.9,0.05,1.02%,"76,400",19.8
04-Jan-16,LKL,Longhorn Publishers Plc,4.26,8.6,4.55,4.9,4.6,4.5,0.1,2.22%,"6,000",-
04-Jan-16,NMG,Nation Media Group Plc,13.45,49,190,190,190,191,-1,0.52%,500,-
04-Jan-16,SMER,Sameer Africa Plc,1.91,4.69,3.7,3.8,3.75,3.75,-,-,"4,000",-
04-Jan-16,SGL,Standard Group Plc,18,31,28,28,28,28,-,-,-,-
04-Jan-16,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.45,25,25,25,25,-,-,-,-
04-Jan-16,UCHM,Uchumi Supermarket Plc,0.23,0.5,10.1,11,10.65,10.95,-0.3,2.74%,"108,500",-
04-Jan-16,SCAN,WPP ScanGroup Plc,10.5,25,27.5,27.5,27.5,30,-2.5,8.33%,100,-
04-Jan-16,ARM,ARM Cement Plc,5.55,5.55,40.5,42,40.5,41.75,-1.25,2.99%,"6,300",-
04-Jan-16,BAMB,Bamburi Cement Ltd,26,120,175,175,175,175,-,-,-,-
04-Jan-16,CRWN,Crown Paints Kenya Plc,45,85,61,61,61,61,-,-,-,-
04-Jan-16,CABL,East African Cables Ltd,1.44,3.98,10.5,10.9,10.6,10.6,-,-,700,-
04-Jan-16,PORT,East African Portland Cement Ltd,12.6,18.5,46,46,46,46.75,-0.75,1.60%,100,-
04-Jan-16,KENO,KenolKobil Ltd,12.8,23,8.7,9.4,8.85,9.6,-0.75,7.81%,"28,000",-
04-Jan-16,KEGN,Kenya Electricity Generating Company Plc,4,6.5,6.55,7.5,6.95,7.1,-0.15,2.11%,"555,600",-
04-Jan-16,KPLC-P4,KPLC-P4,5,5,5.5,5.5,5.5,5.5,-,-,-,-
04-Jan-16,KPLC-P7,KPLC-P7,6,6,5.5,5.5,5.5,5.5,-,-,-,-
04-Jan-16,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,13.05,13.3,13.2,13.2,-,-,900,-
04-Jan-16,TOTL,Total Kenya Ltd,22,30,18,18.95,18.25,18.25,-,-,"3,900",-
04-Jan-16,UMME,Umeme Ltd,5.68,8.6,22.25,22.25,22.25,22.25,-,-,-,-
04-Jan-16,BRIT,Britam Holdings Plc,5.7,10.65,13.1,14,13.65,13,0.65,5.00%,"63,700",-
04-Jan-16,CIC,CIC Insurance Group Ltd,2,3.65,6.3,6.45,6.3,6.2,0.1,1.61%,"60,900",-
04-Jan-16,JUB,Jubilee Holdings Ltd,225,381,484,484,484,484,-,-,-,440
04-Jan-16,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,19.2,21,20.25,21,-0.75,3.57%,"7,200",5.06
04-Jan-16,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,20,20,20,19.5,0.5,2.56%,100,-
04-Jan-16,SLAM,Sanlam Kenya Plc,13,20,60,60,60,60,-,-,900,-
04-Jan-16,CTUM,Centum Investment Company Plc,19.6,33.5,46.5,48.25,47,46.5,0.5,1.08%,"10,700",-
04-Jan-16,HAFR,Home Afrika Ltd,0.3,0.69,2,3,2.5,2.6,-0.1,3.85%,"935,400",-
04-Jan-16,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
04-Jan-16,OCH,Olympia Capital Holdings Ltd,1.9,2.9,4.5,4.9,4.7,4.8,-0.1,2.08%,400,-
04-Jan-16,TCL,Trans-Century Plc,1.42,4.03,8,8.5,8,8.25,-0.25,3.03%,"324,900",-
04-Jan-16,NSE,Nairobi Securities Exchange Plc,7.04,13,23,25,24.55,24.75,-0.2,0.81%,"20,400",18.41
04-Jan-16,BOC,BOC Kenya Plc,53,72,92,102,94,102,-8,7.84%,800,-
04-Jan-16,BAT,British American Tobacco Kenya Plc,305,545,780,785,782,785,-3,0.38%,"3,700",-
04-Jan-16,CARB,Carbacid Investments Plc,7.1,9.4,16.5,16.5,16.5,16.3,0.2,1.23%,700,-
04-Jan-16,EABL,East African Breweries Ltd,135,222.25,270,273,270,273,-3,1.10%,900,-
04-Jan-16,FTGH,Flame Tree Group Holdings Ltd,0.76,3,7,7,7,7,-,-,-,6.36
04-Jan-16,ORCH,Kenya Orchards Ltd,12.25,12.6,98,98,98,98,-,-,-,-
04-Jan-16,MSC,Mumias Sugar Company Ltd,0.27,0.39,1.65,1.75,1.65,1.6,0.05,3.13%,"202,200",-
04-Jan-16,UNGA,Unga Group Ltd,26.1,37,30.5,34,32.25,33.75,-1.5,4.44%,"1,500",-
04-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.05,16.7,16.35,16.3,0.05,0.31%,"1,642,000",-
04-Jan-16,FAHR,Stanlib Fahari Income-REIT,5.5,10,21,22,21.75,22,-0.25,1.14%,"31,700",-
04-Jan-16,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,185.1,187.96,185.73,186.64,-0.91,0.49%,-,-
04-Jan-16,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,184.78,187.2,185.55,186.25,-0.7,0.38%,-,-
04-Jan-16,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","4,007.33","4,007.33","4,007.33","4,040.75",-33.42,0.83%,-,-
04-Jan-16,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","4,174.50","4,174.50","4,174.50","4,194.80",-20.3,0.48%,-,-
04-Jan-16,^NASI,NSE All-Share Index,124.3,171.36,145.5,145.5,145.5,145.7,-0.2,0.14%,-,-
05-Jan-16,EGAD,Eaagads Ltd,8.2,14,25,25,25,25,-,-,200,-
05-Jan-16,KUKZ,Kakuzi Plc,300,423.5,332,332,332,332,-,-,-,-
05-Jan-16,KAPC,Kapchorua Tea Kenya Plc,59,95,200,220,205,200,5,2.50%,"2,000",102.5
05-Jan-16,LIMT,Limuru Tea Plc,385,475,"1,085.00","1,085.00","1,085.00","1,085.00",-,-,-,-
05-Jan-16,SASN,Sasini Plc,14.8,19,17.6,20,17.9,19.5,-1.6,8.21%,"6,700",-
05-Jan-16,WTK,Williamson Tea Kenya Plc,92,165,390,400,398,401,-3,0.75%,"4,200",199
05-Jan-16,CGEN,Car and General (K) Ltd,20,26,39.5,39.5,39.5,39.5,-,-,200,-
05-Jan-16,ABSA,ABSA Bank Kenya Plc,9,14.2,13,13.35,13.1,13.35,-0.25,1.87%,"296,300",-
05-Jan-16,COOP,Co-operative Bank of Kenya Ltd,10.5,17,17.5,18,17.6,17.7,-0.1,0.56%,"864,700",14.67
05-Jan-16,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,186,187,186,186,-,-,"6,600",169.09
05-Jan-16,EQTY,Equity Group Holdings Plc,30.5,55.5,39.25,41,40.25,40.75,-0.5,1.23%,"1,040,500",-
05-Jan-16,HFCK,HF Group Ltd,3.49,7.9,21.75,23.5,22.65,22.85,-0.2,0.88%,"20,100",20.59
05-Jan-16,IMH,I & M Holdings Plc,43.1,59,100,100,100,100,-,-,"1,400",50
05-Jan-16,KCB,KCB Group Plc,33.75,55.5,42,44.25,43.5,43,0.5,1.16%,"2,292,400",-
