DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
03-Jan-17,EGAD,Eaagads Ltd,8.2,14,27.25,28,27.75,27.25,0.5,1.83%,"3,500",-
03-Jan-17,KUKZ,Kakuzi Plc,300,423.5,280,280,280,309,-29,9.39%,200,-
03-Jan-17,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,-,-,-,-
03-Jan-17,LIMT,Limuru Tea Plc,385,475,530,530,530,530,-,-,100,-
03-Jan-17,SASN,Sasini Plc,14.8,19.6,19.2,21,19.9,19.2,0.7,3.65%,"4,900",-
03-Jan-17,WTK,Williamson Tea Kenya Plc,92,165,178,178,178,178,-,-,-,-
03-Jan-17,CGEN,Car and General (K) Ltd,20,26,27,27,27,27,-,-,-,-
03-Jan-17,ABSA,ABSA Bank Kenya Plc,9,14.2,8.45,8.95,8.7,9.1,-0.4,4.40%,"29,700",-
03-Jan-17,COOP,Co-operative Bank of Kenya Ltd,10.5,17,13,13.5,13,13.2,-0.2,1.52%,"177,500",10.83
03-Jan-17,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,118,118,118,118,-,-,800,-
03-Jan-17,EQTY,Equity Group Holdings Plc,30.5,55.5,30,30,30,30,-,-,"1,986,200",-
03-Jan-17,HFCK,HF Group Ltd,3.49,7.9,13.45,14,13.65,14,-0.35,2.50%,"20,800",12.41
03-Jan-17,IMH,I & M Holdings Plc,43.1,59,88,89,88.25,90,-1.75,1.94%,500,44.13
03-Jan-17,KCB,KCB Group Plc,33.75,55.5,28.75,29.25,29,28.75,0.25,0.87%,"1,580,800",-
03-Jan-17,NBK,National Bank of Kenya Ltd,3.4,4.33,7.5,7.5,7.5,7.2,0.3,4.17%,"13,000",6.82
03-Jan-17,NCBA,NCBA Group Plc,24.9,40,25,26,25.4,26,-0.6,2.31%,"3,500",23.09
03-Jan-17,SBIC,Stanbic Holdings Plc,76.5,118.5,70.5,70.5,70.5,70.5,-,-,-,-
03-Jan-17,SCBK,Standard Chartered Bank Kenya Ltd,160,220,186,190,188,189.75,-1.75,0.92%,800,-
03-Jan-17,DCON,Deacons (East Africa) Plc,0.45,0.45,6,6.1,6.05,6.05,-,-,"3,300",-
03-Jan-17,EVRD,Eveready East Africa Ltd,0.75,1.28,2.35,2.35,2.35,2.35,-,-,"2,600",-
03-Jan-17,XPRS,Express Kenya Plc,4,7.34,3.55,3.55,3.55,3.55,-,-,-,-
03-Jan-17,KQ,Kenya Airways Plc,0.8,5.5,5.8,5.9,5.8,5.85,-0.05,0.85%,"20,300",23.2
03-Jan-17,LKL,Longhorn Publishers Plc,4.26,8.6,4.75,4.9,4.8,4.8,-,-,"1,600",-
03-Jan-17,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.9,7.9,7.9,7.9,-,-,200,-
03-Jan-17,NMG,Nation Media Group Plc,13,49,90,94,93,93,-,-,700,-
03-Jan-17,SMER,Sameer Africa Plc,1.91,4.69,2.8,3,2.8,2.8,-,-,"14,400",-
03-Jan-17,SGL,Standard Group Plc,18,31,18,18,18,16.5,1.5,9.09%,500,-
03-Jan-17,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,20.5,20.5,20.5,20.5,-,-,-,-
03-Jan-17,UCHM,Uchumi Supermarket Plc,0.23,0.46,3.6,4,3.75,3.95,-0.2,5.06%,"32,900",-
03-Jan-17,SCAN,WPP ScanGroup Plc,10.75,25,17.5,18.4,17.65,18.1,-0.45,2.49%,"5,600",-
